postcode,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time student: Aged 15-24 years,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time student: Aged 25 years and over,Technical or Further Educ Inst (incl. TAFE Colleges): Part-time student: Aged 15-24 years,Technical or Further Educ Inst (incl. TAFE Colleges): Part-time student: Aged 25 years and over,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time/Part-time student status not stated,University or other Tertiary Institution: Full-time student: Aged 15-24 years,University or other Tertiary Institution: Full-time student: Aged 25 years and over,University or other Tertiary Institution: Part-time student: Aged 15-24 years,University or other Tertiary Institution: Part-time student: Aged 25 years and over,University or other Tertiary Institution: Full-time/Part-time student status not stated,Other: Full-time student,Other: Part-time student,Total
"2452, NSW",49,52,107,134,7,87,67,28,151,0,27,61,769
"2453, NSW",3,7,9,15,0,7,5,3,14,0,0,9,70
"2454, NSW",20,24,29,75,0,30,53,13,97,0,14,29,386
"2455, NSW",4,9,8,22,0,12,9,11,32,0,0,6,108
"2456, NSW",35,43,70,128,3,80,63,24,120,0,33,68,669
"2460, NSW",115,104,194,261,11,79,87,41,197,0,53,89,1221
"2462, NSW",7,7,16,15,0,9,0,3,9,0,7,3,82
"2463, NSW",15,20,41,66,0,31,11,11,56,0,0,19,267
"2464, NSW",10,14,34,60,0,26,26,6,45,0,6,16,239
"2465, NSW",0,0,3,0,0,0,0,0,3,0,0,0,19
"2466, NSW",0,0,8,17,0,6,3,0,10,0,0,3,52
"2469, NSW",4,9,19,30,0,5,4,3,26,0,8,11,126
"2470, NSW",43,45,108,127,4,55,44,26,73,5,18,43,604
"2471, NSW",5,8,6,15,0,8,8,6,15,0,3,9,86
"2472, NSW",0,9,15,12,0,8,10,0,19,0,6,3,72
"2473, NSW",9,3,19,20,4,8,11,6,27,0,0,7,110
"2474, NSW",17,15,28,55,0,19,27,9,41,0,6,19,232
"2475, NSW",0,3,0,7,0,0,0,0,0,0,0,0,13
"2476, NSW",3,3,3,6,0,5,4,0,5,0,0,0,23
"2477, NSW",33,28,64,122,8,67,49,29,129,0,11,47,590
"2478, NSW",51,80,123,233,4,182,158,50,307,6,33,87,1307
"2479, NSW",6,8,11,28,0,27,26,4,48,0,6,18,182
"2480, NSW",141,178,262,398,9,637,479,149,631,6,58,163,3113
"2481, NSW",19,63,32,91,0,91,96,24,144,0,24,86,685
"2482, NSW",11,28,26,43,0,19,38,5,66,0,15,41,289
"2483, NSW",25,40,49,81,0,60,78,15,126,0,11,48,535
"2484, NSW",63,55,101,149,0,109,86,38,174,0,34,72,892
"2485, NSW",39,42,60,111,4,164,90,27,102,3,17,53,707
"2486, NSW",66,79,151,242,5,327,162,87,231,3,40,85,1474
"2487, NSW",31,42,64,114,3,147,70,31,140,3,19,47,698
"2488, NSW",9,12,15,26,3,26,24,10,37,0,4,10,173
"2489, NSW",10,16,27,78,0,55,52,16,79,0,8,29,381
"2490, NSW",0,3,3,4,0,7,4,0,14,0,0,5,42
